nohup: ignoring input
WARNING:root:No sentence-transformers model found with name /data/transformers/bert-base-uncased. Creating a new one with MEAN pooling.
Some weights of the model checkpoint at /data/transformers/bert-base-uncased were not used when initializing BertModel: ['cls.predictions.transform.dense.weight', 'cls.seq_relationship.weight', 'cls.predictions.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.decoder.weight', 'cls.predictions.transform.dense.bias', 'cls.seq_relationship.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Add 2 special tokens
Asking to truncate to max_length but no maximum length is provided and the model has no predefined maximum length. Default to no truncation.
Trian : | Epoch [  1/ 10] Iter[  1/3645]	 CE-loss: 0.5661
Trian : | Epoch [  4/ 10] Iter[2963/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[2964/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[2965/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[2966/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[2967/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[2968/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[2969/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[2970/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[2971/3645]	 CE-loss: 0.0254
Trian : | Epoch [  4/ 10] Iter[2972/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[2973/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[2974/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[2975/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[2976/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[2977/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[2978/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[2979/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[2980/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[2981/3645]	 CE-loss: 0.0254
Trian : | Epoch [  4/ 10] Iter[2982/3645]	 CE-loss: 0.0254
Trian : | Epoch [  4/ 10] Iter[2983/3645]	 CE-loss: 0.0254
Trian : | Epoch [  4/ 10] Iter[2984/3645]	 CE-loss: 0.0254
Trian : | Epoch [  4/ 10] Iter[2985/3645]	 CE-loss: 0.0254
Trian : | Epoch [  4/ 10] Iter[2986/3645]	 CE-loss: 0.0254
Trian : | Epoch [  4/ 10] Iter[2987/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[2988/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[2989/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[2990/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[2991/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[2992/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[2993/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[2994/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[2995/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[2996/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[2997/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[2998/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[2999/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3000/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3001/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3002/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3003/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3004/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3005/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3006/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3007/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3008/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3009/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3010/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3011/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3012/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3013/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3014/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3015/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3016/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3017/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3018/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3019/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3020/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3021/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3022/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3023/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3024/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3025/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3026/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3027/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3028/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3029/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3030/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3031/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3032/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3033/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3034/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3035/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3036/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3037/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3038/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3039/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3040/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3041/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3042/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3043/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3044/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3045/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3046/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3047/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3048/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3049/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3050/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3051/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3052/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3053/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3054/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3055/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3056/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3057/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3058/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3059/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3060/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3061/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3062/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3063/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3064/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3065/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3066/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3067/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3068/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3069/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3070/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3071/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3072/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3073/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3074/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[3075/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3076/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3077/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3078/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3079/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3080/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3081/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3082/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3083/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3084/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[3085/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[3086/3645]	 CE-loss: 0.0255
Trian : | Epoch [  4/ 10] Iter[3087/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3088/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3089/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3090/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3091/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3092/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3093/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3094/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3095/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3096/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3097/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3098/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3099/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3100/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3101/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3102/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3103/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3104/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3105/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3106/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3107/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3108/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3109/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3110/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3111/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3112/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3113/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3114/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3115/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3116/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3117/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3118/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3119/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3120/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3121/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3122/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3123/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3124/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3125/3645]	 CE-loss: 0.0256
Trian : | Epoch [  4/ 10] Iter[3126/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3127/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3128/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3129/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3130/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3131/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3132/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3133/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3134/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3135/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3136/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3137/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3138/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3139/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3140/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3141/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3142/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3143/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3144/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3145/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3146/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3147/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3148/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3149/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3150/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3151/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3152/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3153/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3154/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3155/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3156/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3157/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3158/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3159/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3160/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3161/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3162/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3163/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3164/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3165/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3166/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3167/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3168/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3169/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3170/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3171/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3172/3645]	 CE-loss: 0.0259
Trian : | Epoch [  4/ 10] Iter[3173/3645]	 CE-loss: 0.0259
Trian : | Epoch [  4/ 10] Iter[3174/3645]	 CE-loss: 0.0259
Trian : | Epoch [  4/ 10] Iter[3175/3645]	 CE-loss: 0.0259
Trian : | Epoch [  4/ 10] Iter[3176/3645]	 CE-loss: 0.0259
Trian : | Epoch [  4/ 10] Iter[3177/3645]	 CE-loss: 0.0259
Trian : | Epoch [  4/ 10] Iter[3178/3645]	 CE-loss: 0.0259
Trian : | Epoch [  4/ 10] Iter[3179/3645]	 CE-loss: 0.0259
Trian : | Epoch [  4/ 10] Iter[3180/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3181/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3182/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3183/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3184/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3185/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3186/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3187/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3188/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3189/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3190/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3191/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3192/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3193/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3194/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3195/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3196/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3197/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3198/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3199/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3200/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3201/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3202/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3203/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3204/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3205/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3206/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3207/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3208/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3209/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3210/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3211/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3212/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3213/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3214/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3215/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3216/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3217/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3218/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3219/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3220/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3221/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3222/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3223/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3224/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3225/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3226/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3227/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3228/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3229/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3230/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3231/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3232/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3233/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3234/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3235/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3236/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3237/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3238/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3239/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3240/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3241/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3242/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3243/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3244/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3245/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3246/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3247/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3248/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3249/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3250/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3251/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3252/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3253/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3254/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3255/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3256/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3257/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3258/3645]	 CE-loss: 0.0257
Trian : | Epoch [  4/ 10] Iter[3259/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3260/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3261/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3262/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3263/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3264/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3265/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3266/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3267/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3268/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3269/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3270/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3271/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3272/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3273/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3274/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3275/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3276/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3277/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3278/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3279/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3280/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3281/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3282/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3283/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3284/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3285/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3286/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3287/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3288/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3289/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3290/3645]	 CE-loss: 0.0258
Trian : | Epoch [  4/ 10] Iter[3291/3645]	 CE-loss: 0.0258
